id_noticia,fuente,url,categoria_busqueda
N001,CNN Chile,https://www.cnnchile.com/pais/homicidio-pudahuel-block-departamentos-general-bonilla/,homicidios
N002,BioBioChile,https://www.biobiochile.cl/noticias/nacional/chile/2026/09/17/funcionaria-de-presidencia-sufre-robo-en-su-departamento-en-san-miguel.shtml,robos
N003,Diario El Dia,https://www.diarioeldia.cl/noticias/2026/09/18/151405-operacion-medellin-pdi-detiene-a-cinco-personas-e-incauta-droga-armas-y-mas-de-6-millones-en-salamanca,drogas
N004,BioBioChile,https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2026/09/18/asesinato-a-golpes-en-via-publica-de-la-granja-es-el-tercer-homicidio-de-las-ultimas-horas-en-la-rm.shtml,homicidios
N005,Pura Noticia,https://puranoticia.pnt.cl/region-valparaiso/homicidio-en-limache-matan-de-una-apunalada-a-joven-de-23-anos-en-plena,homicidios
N006,SoyChile,https://soychile.cl/san-antonio/policial/2026/09/18/965608/arrestan-pareja-balacera-toma-sanantonio.html,armas
N007,SoyChile,https://soychile.cl/Quillota/Sociedad/2026/09/18/965629/hombre-muere-apunalado-limache-23anos.html,homicidios



